insert into `livros` values ('978-0-18-072205-3', 'A liberdade de mudar direto da fonte', '2020-10-01', '59', '13');
insert into `livros` values ('978-1-373-91173-5', 'O conforto de conseguir sem preocupação', '1973-02-28', '35', '6');
insert into `livros` values ('978-1-900862-45-5', 'A arte de mudar mais rapidamente', '2007-01-29', '13', '20');
insert into `livros` values ('978-1-79043-050-5', 'A vantagem de concretizar seus projetos com toda a tranquilidade', '1971-06-13', '1', '10');
insert into `livros` values ('978-1-4149-4580-4', 'O conforto de ganhar naturalmente', '1978-02-19', '49', '3');
insert into `livros` values ('978-1-350-40793-0', 'A segurança de mudar direto da fonte', '2008-06-29', '48', '10');
insert into `livros` values ('978-0-19-307453-8', 'O poder de inovar mais facilmente', '1988-02-07', '82', '12');
insert into `livros` values ('978-1-392-51956-1', 'O prazer de evoluir antes de tudo', '2007-04-04', '34', '12');
insert into `livros` values ('978-0-7976-8807-0', 'A vantagem de concretizar seus projetos mais rapidamente', '1985-02-20', '82', '7');
insert into `livros` values ('978-1-4818-8303-0', 'A segurança de conseguir antes de tudo', '2000-10-03', '31', '12');
insert into `livros` values ('978-0-204-71458-3', 'O prazer de concretizar seus projetos de maneira eficaz', '2011-10-15', '49', '20');
insert into `livros` values ('978-0-372-98279-1', 'A certeza de realizar seus sonhos direto da fonte', '1995-09-20', '29', '18');
insert into `livros` values ('978-0-7636-2938-0', 'O direito de ganhar com toda a tranquilidade', '1976-09-28', '88', '9');
insert into `livros` values ('978-0-00-900103-1', 'A arte de concretizar seus projetos com toda a tranquilidade', '2013-10-17', '76', '10');
insert into `livros` values ('978-0-88340-060-9', 'O poder de inovar com toda a tranquilidade', '2006-08-19', '97', '19');
insert into `livros` values ('978-1-79756-975-8', 'A arte de conseguir de maneira eficaz', '1984-11-16', '88', '16');
insert into `livros` values ('978-1-307-83397-3', 'A possibilidade de inovar direto da fonte', '2020-08-01', '54', '20');
insert into `livros` values ('978-0-394-63778-5', 'A liberdade de atingir seus objetivos naturalmente', '1983-11-26', '83', '1');
insert into `livros` values ('978-1-82718-841-6', 'O conforto de avançar naturalmente', '2012-10-04', '3', '12');
insert into `livros` values ('978-1-5314-5441-8', 'A possibilidade de mudar naturalmente', '1972-05-05', '81', '2');
insert into `livros` values ('978-1-334-34104-5', 'A vantagem de conseguir naturalmente', '2012-11-25', '100', '11');
insert into `livros` values ('978-1-177-18228-7', 'A vantagem de inovar mais facilmente', '2008-01-12', '40', '11');
insert into `livros` values ('978-0-694-22871-3', 'A arte de mudar em estado puro', '2011-08-13', '72', '16');
insert into `livros` values ('978-1-04-214525-6', 'A simplicidade de avançar mais facilmente', '1989-05-06', '40', '5');
insert into `livros` values ('978-0-347-79045-1', 'A simplicidade de conseguir com confiança', '1996-02-25', '14', '1');
insert into `livros` values ('978-1-74395-772-1', 'A arte de realizar seus sonhos sem preocupação', '1971-02-10', '82', '13');
insert into `livros` values ('978-1-66599-983-0', 'O direito de concretizar seus projetos naturalmente', '1998-11-20', '32', '5');
insert into `livros` values ('978-1-82803-559-7', 'O conforto de atingir seus objetivos direto da fonte', '1970-05-11', '26', '1');
insert into `livros` values ('978-1-5289-1101-6', 'O poder de avançar sem preocupação', '2004-11-20', '62', '17');
insert into `livros` values ('978-1-7396346-3-6', 'A vantagem de evoluir antes de tudo', '2015-07-21', '85', '20');
insert into `livros` values ('978-0-11-137400-9', 'O prazer de evoluir direto da fonte', '1985-03-28', '32', '18');
insert into `livros` values ('978-0-10-768459-4', 'A arte de realizar seus sonhos direto da fonte', '1988-11-09', '30', '9');
insert into `livros` values ('978-1-01-999607-2', 'O conforto de concretizar seus projetos simplesmente', '2000-10-11', '11', '20');
insert into `livros` values ('978-1-383-99788-0', 'O prazer de avançar de maneira eficaz', '1980-04-07', '29', '18');
insert into `livros` values ('978-0-8055-9767-7', 'O prazer de atingir seus objetivos simplesmente', '1999-12-19', '48', '7');
insert into `livros` values ('978-0-11-223891-1', 'A simplicidade de mudar com confiança', '2012-01-09', '77', '18');
insert into `livros` values ('978-1-896359-35-9', 'A possibilidade de inovar mais rapidamente', '2019-09-19', '55', '16');
insert into `livros` values ('978-1-4204-8216-4', 'A possibilidade de atingir seus objetivos sem preocupação', '1990-12-24', '27', '13');
insert into `livros` values ('978-1-67817-926-7', 'O poder de concretizar seus projetos com força total', '2008-04-21', '67', '11');
insert into `livros` values ('978-1-378-83036-9', 'A certeza de inovar em estado puro', '1989-09-22', '18', '5');
insert into `livros` values ('978-1-66522-896-1', 'A simplicidade de ganhar antes de tudo', '2013-02-08', '63', '18');
insert into `livros` values ('978-0-8087-8998-7', 'A certeza de conseguir com força total', '1994-11-23', '95', '12');
insert into `livros` values ('978-0-299-38909-3', 'O poder de realizar seus sonhos naturalmente', '1992-09-20', '18', '13');
insert into `livros` values ('978-1-69468-142-3', 'A arte de evoluir simplesmente', '2005-02-09', '41', '4');
insert into `livros` values ('978-0-04-229380-6', 'A possibilidade de atingir seus objetivos mais facilmente', '1984-10-31', '86', '19');
insert into `livros` values ('978-0-7167-8500-2', 'A vantagem de ganhar simplesmente', '1981-09-28', '23', '8');
insert into `livros` values ('978-0-925945-02-0', 'A segurança de mudar naturalmente', '1983-05-16', '55', '12');
insert into `livros` values ('978-1-319-11838-9', 'A liberdade de atingir seus objetivos com toda a tranquilidade', '2003-11-25', '41', '18');
insert into `livros` values ('978-1-170-44872-4', 'O prazer de mudar mais facilmente', '1983-02-22', '95', '3');
insert into `livros` values ('978-1-202-43007-9', 'A arte de ganhar antes de tudo', '1990-01-06', '35', '17');
insert into `livros` values ('978-1-149-25872-9', 'A segurança de conseguir com confiança', '1976-12-09', '20', '15');
insert into `livros` values ('978-1-4110-6434-8', 'A simplicidade de inovar simplesmente', '1995-04-14', '3', '11');
insert into `livros` values ('978-1-74646-469-1', 'A simplicidade de inovar direto da fonte', '1972-06-20', '54', '8');
insert into `livros` values ('978-0-634-63300-3', 'A segurança de atingir seus objetivos com confiança', '1977-04-16', '27', '11');
insert into `livros` values ('978-0-250-39586-6', 'O direito de mudar mais facilmente', '2012-01-16', '43', '3');
insert into `livros` values ('978-0-07-281804-8', 'A certeza de realizar seus sonhos sem preocupação', '1976-08-06', '44', '18');
insert into `livros` values ('978-1-83036-993-2', 'O conforto de conseguir com força total', '2018-03-24', '92', '6');
insert into `livros` values ('978-0-368-13908-6', 'A segurança de avançar com toda a tranquilidade', '1993-06-10', '66', '19');
insert into `livros` values ('978-0-7454-3120-8', 'A arte de inovar mais rapidamente', '2000-07-09', '70', '10');
insert into `livros` values ('978-1-159-45373-2', 'A vantagem de inovar com força total', '1991-09-25', '22', '12');
insert into `livros` values ('978-1-128-88052-1', 'A liberdade de avançar com toda a tranquilidade', '2002-07-13', '14', '19');
insert into `livros` values ('978-1-06-760646-6', 'A possibilidade de evoluir com toda a tranquilidade', '1976-11-20', '96', '5');
insert into `livros` values ('978-0-14-494510-8', 'A arte de atingir seus objetivos com confiança', '2008-07-14', '18', '7');
insert into `livros` values ('978-1-351-62063-5', 'O prazer de mudar com toda a tranquilidade', '2010-12-13', '93', '11');
insert into `livros` values ('978-0-903943-31-4', 'A certeza de avançar em estado puro', '1985-07-26', '51', '6');
insert into `livros` values ('978-0-7950-2585-3', 'O prazer de conseguir naturalmente', '1970-01-09', '20', '13');
insert into `livros` values ('978-1-72954-264-4', 'O conforto de ganhar sem preocupação', '2018-11-20', '38', '13');
insert into `livros` values ('978-1-248-55769-3', 'A certeza de avançar simplesmente', '2010-07-03', '80', '3');
insert into `livros` values ('978-1-64037-860-5', 'A arte de avançar com confiança', '2001-08-05', '62', '20');
insert into `livros` values ('978-0-87688-465-2', 'A liberdade de evoluir naturalmente', '2000-08-07', '40', '2');
insert into `livros` values ('978-0-526-50941-6', 'A liberdade de inovar em estado puro', '1970-02-02', '33', '6');
insert into `livros` values ('978-1-84759-827-1', 'A arte de inovar com confiança', '1995-09-06', '100', '13');
insert into `livros` values ('978-0-636-90940-3', 'A arte de conseguir com confiança', '1970-10-10', '25', '16');
insert into `livros` values ('978-0-541-59474-9', 'A liberdade de conseguir com força total', '2016-12-26', '49', '3');
insert into `livros` values ('978-0-9778378-5-4', 'A possibilidade de realizar seus sonhos direto da fonte', '1991-05-16', '58', '3');
insert into `livros` values ('978-0-8461-7028-0', 'A simplicidade de avançar mais rapidamente', '2003-03-19', '55', '19');
insert into `livros` values ('978-0-519-16495-0', 'A certeza de evoluir mais rapidamente', '1994-11-18', '62', '17');
insert into `livros` values ('978-0-583-16912-7', 'A simplicidade de avançar com toda a tranquilidade', '1993-11-02', '16', '13');
insert into `livros` values ('978-0-19-130661-7', 'O conforto de inovar direto da fonte', '1972-04-04', '24', '2');
insert into `livros` values ('978-0-272-54307-8', 'A possibilidade de avançar direto da fonte', '1987-04-01', '4', '3');
insert into `livros` values ('978-1-78016-331-4', 'O poder de conseguir com toda a tranquilidade', '1999-04-19', '64', '20');
insert into `livros` values ('978-1-269-09432-0', 'A possibilidade de mudar de maneira eficaz', '1985-09-26', '97', '15');
insert into `livros` values ('978-1-4260-9699-0', 'O prazer de ganhar em estado puro', '1987-04-02', '30', '15');
insert into `livros` values ('978-0-7641-7099-7', 'O prazer de conseguir com confiança', '1992-07-17', '7', '13');
insert into `livros` values ('978-1-374-60184-0', 'O conforto de atingir seus objetivos em estado puro', '2019-04-15', '9', '11');
insert into `livros` values ('978-0-8020-5592-7', 'A possibilidade de ganhar direto da fonte', '1986-08-15', '7', '5');
insert into `livros` values ('978-0-03-909844-5', 'A possibilidade de evoluir com confiança', '2005-04-03', '2', '18');
insert into `livros` values ('978-0-08-548459-9', 'O conforto de mudar mais facilmente', '2014-08-15', '67', '15');
insert into `livros` values ('978-1-327-37170-7', 'A segurança de atingir seus objetivos simplesmente', '2013-07-27', '72', '16');
insert into `livros` values ('978-0-12-845249-3', 'A arte de conseguir com confiança', '1994-04-03', '10', '14');
insert into `livros` values ('978-1-4524-2142-1', 'O conforto de evoluir antes de tudo', '1985-07-07', '55', '17');
insert into `livros` values ('978-1-349-85469-1', 'A liberdade de avançar mais rapidamente', '2011-07-18', '49', '17');
insert into `livros` values ('978-1-02-685429-7', 'A segurança de mudar sem preocupação', '1997-05-06', '22', '10');
insert into `livros` values ('978-1-127-76201-9', 'A possibilidade de concretizar seus projetos de maneira eficaz', '2015-04-08', '10', '18');
insert into `livros` values ('978-0-520-89099-2', 'A possibilidade de conseguir mais rapidamente', '1970-02-24', '34', '6');
insert into `livros` values ('978-1-189-25571-9', 'O direito de mudar de maneira eficaz', '1989-10-19', '22', '2');
insert into `livros` values ('978-1-01-495814-3', 'O poder de realizar seus sonhos mais rapidamente', '2021-04-05', '13', '15');
insert into `livros` values ('978-0-16-841690-5', 'A possibilidade de evoluir naturalmente', '1997-01-10', '91', '15');
insert into `livros` values ('978-0-238-58893-8', 'A possibilidade de inovar mais rapidamente', '1995-09-07', '29', '10');
insert into `livros` values ('978-1-5432-6709-9', 'O direito de concretizar seus projetos de maneira eficaz', '1977-01-04', '89', '7');
insert into `livros` values ('978-0-17-783986-3', 'O conforto de evoluir antes de tudo', '1989-06-10', '69', '16');
insert into `livros` values ('978-0-7740-4474-5', 'O conforto de concretizar seus projetos com confiança', '2004-08-03', '58', '15');
insert into `livros` values ('978-0-9598578-5-6', 'O poder de evoluir mais facilmente', '1996-06-08', '36', '17');
insert into `livros` values ('978-1-192-82039-3', 'A arte de conseguir mais rapidamente', '2015-04-07', '16', '10');
insert into `livros` values ('978-1-919724-70-6', 'A simplicidade de evoluir com toda a tranquilidade', '1989-02-19', '35', '5');
insert into `livros` values ('978-1-202-33004-1', 'A liberdade de concretizar seus projetos com confiança', '2015-08-24', '23', '17');
insert into `livros` values ('978-1-191-89095-3', 'A vantagem de inovar com confiança', '2002-11-13', '99', '11');
insert into `livros` values ('978-1-334-98716-8', 'A arte de ganhar mais facilmente', '1990-07-16', '94', '14');
insert into `livros` values ('978-0-306-34430-5', 'O poder de realizar seus sonhos simplesmente', '2001-02-11', '51', '19');
insert into `livros` values ('978-0-06-451404-0', 'A segurança de evoluir mais facilmente', '1979-12-30', '69', '19');
insert into `livros` values ('978-0-9780831-6-8', 'A liberdade de inovar simplesmente', '1977-03-18', '29', '17');
insert into `livros` values ('978-0-8147-6614-9', 'A liberdade de realizar seus sonhos direto da fonte', '1996-02-14', '32', '11');
insert into `livros` values ('978-1-60399-174-2', 'O prazer de realizar seus sonhos com força total', '2019-04-12', '48', '11');
insert into `livros` values ('978-0-03-429920-5', 'O direito de realizar seus sonhos sem preocupação', '1984-06-12', '47', '1');
insert into `livros` values ('978-0-250-66056-8', 'A certeza de inovar com toda a tranquilidade', '2014-07-13', '9', '2');
insert into `livros` values ('978-0-10-929574-3', 'A certeza de inovar com confiança', '2015-10-24', '80', '10');
